time	V(n002)	I(L1)
1.074971002703371e-003	1.446138e-004	1.326940e-004
1.092952654516614e-003	1.767545e-004	1.356008e-004
1.111115347587447e-003	1.922549e-004	1.389545e-004
1.132659357735848e-003	1.834383e-004	1.429765e-004
1.158806030854556e-003	1.450021e-004	1.473685e-004
1.173961901473450e-003	1.144027e-004	1.494316e-004
1.186474641447103e-003	8.934868e-005	1.507184e-004
1.199686575456171e-003	6.961128e-005	1.517547e-004
1.229731383227455e-003	6.322275e-005	1.536455e-004
1.251368725848027e-003	9.016709e-005	1.552945e-004
1.268563347210854e-003	1.216632e-004	1.570804e-004
1.285578297349679e-003	1.540070e-004	1.594339e-004
1.304256233429807e-003	1.793903e-004	1.625608e-004
1.323532160295612e-003	1.860359e-004	1.660766e-004
1.347277691905155e-003	1.686934e-004	1.703414e-004
1.361949078637073e-003	1.460587e-004	1.726924e-004
1.375911837217751e-003	1.190324e-004	1.745459e-004
1.389799901191513e-003	9.363585e-005	1.760182e-004
1.404124464954449e-003	7.428849e-005	1.772098e-004
1.420078335244521e-003	6.480770e-005	1.783100e-004
1.435803505634271e-003	7.076577e-005	1.794049e-004
1.460235128028955e-003	1.012324e-004	1.815013e-004
1.479503662104647e-003	1.337893e-004	1.837140e-004
1.497745201405489e-003	1.624912e-004	1.864115e-004
1.517146542182892e-003	1.794188e-004	1.897350e-004
1.537999228705241e-003	1.754983e-004	1.934041e-004
1.566317574265477e-003	1.435716e-004	1.980092e-004
1.581744100776702e-003	1.183349e-004	2.001152e-004
1.594903850093700e-003	9.646462e-005	2.015330e-004
1.609331644464024e-003	7.886386e-005	2.027806e-004
1.625956322726012e-003	7.037854e-005	2.040093e-004
1.642833019192752e-003	7.658300e-005	2.052612e-004
1.664039103964482e-003	1.008816e-004	2.071305e-004
1.681697826126450e-003	1.284796e-004	2.091321e-004
1.699745044876240e-003	1.553582e-004	2.117024e-004
1.719486556889475e-003	1.731616e-004	2.149549e-004
1.740462543401199e-003	1.721976e-004	2.185564e-004
1.767675548597854e-003	1.470495e-004	2.229855e-004
1.781289125780618e-003	1.272197e-004	2.249047e-004
1.795417482180565e-003	1.050428e-004	2.265329e-004
1.810759081242568e-003	8.626314e-005	2.279814e-004
1.828407336393190e-003	7.572776e-005	2.293976e-004
1.845431457893833e-003	7.993781e-005	2.307435e-004
1.870312854671295e-003	1.050085e-004	2.330259e-004
1.889204115969356e-003	1.313926e-004	2.352152e-004
1.907704777064351e-003	1.554095e-004	2.378717e-004
1.928301528092056e-003	1.697763e-004	2.412292e-004
1.950011595228853e-003	1.652229e-004	2.448277e-004
1.980540522567433e-003	1.349572e-004	2.494828e-004
1.997669840846640e-003	1.118570e-004	2.516816e-004
2.012067861670580e-003	9.391631e-005	2.531661e-004
2.028390491554364e-003	8.177805e-005	2.545851e-004
2.046146157283213e-003	8.142225e-005	2.560338e-004
2.067997123175834e-003	9.663029e-005	2.579480e-004
2.083612559888053e-003	1.153475e-004	2.595806e-004
2.100322363671702e-003	1.375831e-004	2.617222e-004
2.122011145115139e-003	1.597021e-004	2.649673e-004
2.141977274086791e-003	1.660744e-004	2.682036e-004
2.167947737473347e-003	1.535330e-004	2.723809e-004
2.186607956876167e-003	1.335868e-004	2.751069e-004
2.201338885293093e-003	1.143274e-004	2.769446e-004
2.216732126246484e-003	9.719466e-005	2.785497e-004
2.236444078080198e-003	8.488529e-005	2.803224e-004
2.254193048360079e-003	8.648241e-005	2.818576e-004
2.279241461997744e-003	1.056216e-004	2.842295e-004
2.296389811212114e-003	1.252534e-004	2.861742e-004
2.314360646463916e-003	1.455574e-004	2.886252e-004
2.336409304961463e-003	1.605897e-004	2.920156e-004
2.358244830180062e-003	1.591715e-004	2.954770e-004
2.388334756298972e-003	1.365469e-004	2.999937e-004
2.404042674091263e-003	1.190848e-004	3.020571e-004
2.418911541340642e-003	1.027787e-004	3.036965e-004
2.436367873616195e-003	9.039634e-005	3.053626e-004
2.455748505574816e-003	8.847829e-005	3.070896e-004
2.478280330262436e-003	1.004750e-004	3.091909e-004
2.495354079439595e-003	1.172138e-004	3.110279e-004
2.512988617166208e-003	1.365303e-004	3.132777e-004
2.533921726276962e-003	1.535093e-004	3.163281e-004
2.555954705635599e-003	1.579813e-004	3.197518e-004
2.582600102762201e-003	1.457424e-004	3.238320e-004
2.599611541040431e-003	1.299856e-004	3.262064e-004
2.615756908326610e-003	1.126778e-004	3.281589e-004
2.633089213706916e-003	9.814293e-005	3.299657e-004
2.653745459309798e-003	9.089448e-005	3.319003e-004
2.674066331219700e-003	9.636095e-005	3.338075e-004
2.698075558645635e-003	1.151279e-004	3.363267e-004
2.717798843534375e-003	1.341825e-004	3.387633e-004
2.738587061267110e-003	1.499095e-004	3.417206e-004
2.761530418429678e-003	1.546805e-004	3.452112e-004
2.787724156074517e-003	1.441269e-004	3.491488e-004
2.805793752127884e-003	1.289473e-004	3.516416e-004
2.822276311446008e-003	1.129803e-004	3.536309e-004
2.840133777007345e-003	9.970521e-005	3.555092e-004
2.861485572970399e-003	9.381243e-005	3.575572e-004
2.882963607356848e-003	1.000505e-004	3.596334e-004
2.905056531218788e-003	1.164372e-004	3.620052e-004
2.924435914860888e-003	1.336057e-004	3.644177e-004
2.945852671733960e-003	1.478678e-004	3.674386e-004
2.969351879773052e-003	1.512827e-004	3.709464e-004
2.996881004248110e-003	1.398786e-004	3.749828e-004
3.014713078568284e-003	1.258047e-004	3.773766e-004
3.031719296441984e-003	1.111386e-004	3.793815e-004
3.050699524238324e-003	9.967155e-005	3.813618e-004
3.072540448620953e-003	9.684370e-005	3.834948e-004
3.096399283145375e-003	1.059635e-004	3.858899e-004
3.115682643490451e-003	1.202218e-004	3.880496e-004
3.134936458006647e-003	1.355213e-004	3.905169e-004
3.157871254760213e-003	1.472956e-004	3.937685e-004
3.182073479739414e-003	1.470342e-004	3.973094e-004
3.213267232217834e-003	1.312911e-004	4.016995e-004
3.229720496068034e-003	1.188442e-004	4.037884e-004
3.247353411684804e-003	1.065014e-004	4.057538e-004
3.268901202719074e-003	9.889568e-005	4.079451e-004
3.291503174568861e-003	1.023468e-004	4.102341e-004
3.324191856442046e-003	1.209470e-004	4.138554e-004
3.348011141135009e-003	1.366643e-004	4.168751e-004
3.371451339435378e-003	1.457921e-004	4.201763e-004
3.397028754875406e-003	1.427192e-004	4.238366e-004
3.430696726015191e-003	1.245672e-004	4.283694e-004
3.451233157872641e-003	1.109971e-004	4.308292e-004
3.470511931149557e-003	1.023016e-004	4.328750e-004
3.494440910934704e-003	1.018835e-004	4.353035e-004
3.520665464605612e-003	1.125019e-004	4.380806e-004
3.540156979292265e-003	1.251377e-004	4.403730e-004
3.560866881110540e-003	1.372824e-004	4.430997e-004
3.587442668761663e-003	1.437373e-004	4.468400e-004
3.613729088767676e-003	1.381720e-004	4.505355e-004
3.639297202985447e-003	1.239374e-004	4.539042e-004
3.658460557746212e-003	1.119909e-004	4.561728e-004
3.678971216773679e-003	1.037225e-004	4.583672e-004
3.703255415667653e-003	1.038078e-004	4.608766e-004
3.731689773909555e-003	1.149474e-004	4.639461e-004
3.751339777155254e-003	1.265564e-004	4.662913e-004
3.772689690280088e-003	1.371915e-004	4.691140e-004
3.799921116306496e-003	1.412199e-004	4.729060e-004
3.828129991129928e-003	1.338507e-004	4.767933e-004
3.849647455008904e-003	1.222101e-004	4.795628e-004
3.868627503013571e-003	1.115811e-004	4.817726e-004
3.890779212267774e-003	1.044803e-004	4.841440e-004
3.915724898890074e-003	1.062787e-004	4.867722e-004
3.948412889215662e-003	1.197148e-004	4.904275e-004
3.971643069691958e-003	1.314690e-004	4.933075e-004
3.995926089666955e-003	1.389141e-004	4.965843e-004
4.023752311806017e-003	1.364643e-004	5.003876e-004
4.059737957058659e-003	1.217350e-004	5.050546e-004
4.082296671172448e-003	1.110732e-004	5.077090e-004
4.104418258833244e-003	1.053681e-004	5.100909e-004
4.130719900469321e-003	1.083869e-004	5.129041e-004
4.165749749791240e-003	1.223493e-004	5.169139e-004
4.191975244311421e-003	1.332260e-004	5.202257e-004
4.219111705379668e-003	1.374124e-004	5.238853e-004
4.248078267691152e-003	1.314674e-004	5.277736e-004
4.273457785417001e-003	1.202468e-004	5.309764e-004
4.294653423029701e-003	1.110539e-004	5.334215e-004
4.319121547339407e-003	1.063164e-004	5.360601e-004
4.345904790580641e-003	1.101703e-004	5.389522e-004
4.376379238834288e-003	1.220293e-004	5.424639e-004
4.401463639537409e-003	1.316884e-004	5.456227e-004
4.429573753153573e-003	1.355113e-004	5.493690e-004
4.459187565536747e-003	1.298158e-004	5.532924e-004
4.484323647623137e-003	1.196055e-004	5.564332e-004
4.505991064690285e-003	1.112319e-004	5.589238e-004
4.531756572657750e-003	1.073054e-004	5.617166e-004
4.559549351716821e-003	1.116420e-004	5.647439e-004
4.587488860708305e-003	1.219394e-004	5.679820e-004
4.612255600241229e-003	1.303104e-004	5.710950e-004
4.644772213351635e-003	1.332866e-004	5.753793e-004
4.674202573720373e-003	1.271830e-004	5.792095e-004
4.698629264481330e-003	1.178196e-004	5.822033e-004
4.721127978239280e-003	1.107953e-004	5.847563e-004
4.752290042312009e-003	1.088908e-004	5.881452e-004
4.780797854077293e-003	1.150024e-004	5.913094e-004
4.805760269291459e-003	1.240006e-004	5.942713e-004
4.831249052715294e-003	1.307922e-004	5.975108e-004
4.863013407249169e-003	1.307880e-004	6.016507e-004
4.897384409476915e-003	1.220541e-004	6.060079e-004
4.919810749821445e-003	1.143650e-004	6.086660e-004
4.943794351492545e-003	1.093131e-004	6.113272e-004
4.974130252454191e-003	1.110265e-004	6.146570e-004
5.011337566352845e-003	1.209544e-004	6.189327e-004
5.038883961334765e-003	1.283685e-004	6.223316e-004
5.069377226640357e-003	1.302602e-004	6.262590e-004
5.102136914609438e-003	1.240357e-004	6.304217e-004
5.126929679350732e-003	1.162072e-004	6.333998e-004
5.151292528944733e-003	1.106057e-004	6.361419e-004
5.183647836278472e-003	1.107869e-004	6.396958e-004
5.217008371417600e-003	1.182300e-004	6.434738e-004
5.241868857760720e-003	1.252636e-004	6.464737e-004
5.270217447117047e-003	1.291521e-004	6.500684e-004
5.303270048043358e-003	1.257285e-004	6.542559e-004
5.338387177309153e-003	1.166001e-004	6.585043e-004
5.365595133574749e-003	1.110998e-004	6.615937e-004
5.401163597795095e-003	1.115635e-004	6.655182e-004
5.433639723522286e-003	1.184267e-004	6.692125e-004
5.459589379302973e-003	1.248912e-004	6.723459e-004
5.489910466912633e-003	1.277212e-004	6.761615e-004
5.523981087629972e-003	1.234417e-004	6.804247e-004
5.553670980962921e-003	1.159762e-004	6.839723e-004
5.580296945673825e-003	1.110845e-004	6.869771e-004
5.615682014814008e-003	1.118140e-004	6.908893e-004
5.651068029549369e-003	1.187782e-004	6.949242e-004
5.677557840574378e-003	1.244242e-004	6.981175e-004
5.709493327615035e-003	1.261752e-004	7.021024e-004
5.744819959398823e-003	1.211573e-004	7.064599e-004
5.772496864582939e-003	1.147110e-004	7.097165e-004
5.800131147934216e-003	1.107012e-004	7.128087e-004
5.835341885412787e-003	1.125148e-004	7.167186e-004
5.876983012197865e-003	1.202370e-004	7.215240e-004
5.909240200200151e-003	1.244651e-004	7.254340e-004
5.949442136961733e-003	1.223022e-004	7.303688e-004
5.989541625917432e-003	1.148811e-004	7.351181e-004
6.019055158767198e-003	1.110431e-004	7.384436e-004
6.059475443095879e-003	1.129994e-004	7.429338e-004
6.097853868520331e-003	1.195863e-004	7.473514e-004
6.128930105416614e-003	1.233161e-004	7.510939e-004
6.170509146037824e-003	1.211301e-004	7.561484e-004
6.212239966772571e-003	1.141623e-004	7.610467e-004
6.243588563055918e-003	1.108120e-004	7.645630e-004
6.284657116555101e-003	1.132942e-004	7.691330e-004
6.326998712359639e-003	1.197677e-004	7.740236e-004
6.361953798559378e-003	1.223696e-004	7.782172e-004
6.403314672062238e-003	1.187631e-004	7.831721e-004
6.443812181939460e-003	1.125350e-004	7.878340e-004
6.478467939273913e-003	1.105536e-004	7.916811e-004
6.518021187984511e-003	1.143855e-004	7.960931e-004
6.553377643564937e-003	1.195517e-004	8.001949e-004
6.589109504600508e-003	1.211773e-004	8.044658e-004
6.629472246065742e-003	1.170864e-004	8.092527e-004
6.662023184876366e-003	1.121889e-004	8.129672e-004
6.695530997847933e-003	1.102537e-004	8.166667e-004
6.734928921939112e-003	1.135551e-004	8.210387e-004
6.770241854853697e-003	1.183401e-004	8.250996e-004
6.806251073379168e-003	1.200714e-004	8.293616e-004
6.847739811927480e-003	1.164220e-004	8.342407e-004
6.883043879826971e-003	1.117073e-004	8.382460e-004
6.918441985993003e-003	1.101190e-004	8.421438e-004
6.959372783985834e-003	1.135696e-004	8.466799e-004
6.993877703907011e-003	1.177058e-004	8.506358e-004
7.031433113737086e-003	1.187904e-004	8.550455e-004
7.073888089673186e-003	1.148529e-004	8.599799e-004
7.107285975101790e-003	1.109056e-004	8.637286e-004
7.144514854496716e-003	1.099818e-004	8.678066e-004
7.186266340277773e-003	1.136689e-004	8.724313e-004
7.220608592617746e-003	1.171182e-004	8.763597e-004
7.261405292583028e-003	1.172212e-004	8.811065e-004
7.305299708865058e-003	1.128969e-004	8.861304e-004
7.339256934985267e-003	1.098755e-004	8.898900e-004
7.382605875391976e-003	1.105349e-004	8.946250e-004
7.427367614673288e-003	1.147194e-004	8.996176e-004
7.464158279438389e-003	1.166152e-004	9.038310e-004
7.514109467610681e-003	1.139628e-004	9.095431e-004
7.564204716358194e-003	1.098734e-004	9.151080e-004
7.609194542413975e-003	1.098365e-004	9.200145e-004
7.656711550688969e-003	1.137321e-004	9.252716e-004
7.693779173132318e-003	1.154695e-004	9.294742e-004
7.746975165164051e-003	1.129395e-004	9.354943e-004
7.803524949335674e-003	1.093029e-004	9.417231e-004
7.856403767834672e-003	1.100384e-004	9.474721e-004
7.906719670043558e-003	1.135869e-004	9.530397e-004
7.947915220840283e-003	1.141626e-004	9.576795e-004
8.000756366835225e-003	1.104485e-004	9.635740e-004
8.039602819748208e-003	1.081603e-004	9.677933e-004
8.089838557578008e-003	1.093388e-004	9.732053e-004
8.140924105289752e-003	1.125547e-004	9.788203e-004
8.186991503602048e-003	1.127666e-004	9.839584e-004
8.239216158396671e-003	1.092162e-004	9.897130e-004
8.279556602474059e-003	1.074474e-004	9.940537e-004
8.336642755748381e-003	1.092717e-004	1.000184e-003
8.395261448407496e-003	1.116261e-004	1.006601e-003
8.453610884980549e-003	1.101747e-004	1.013014e-003
8.510845896978495e-003	1.071356e-004	1.019179e-003
8.561507184278840e-003	1.074297e-004	1.024569e-003
8.617187394569259e-003	1.103402e-004	1.030572e-003
8.663301044208933e-003	1.106447e-004	1.035608e-003
8.720426480772963e-003	1.074570e-004	1.041785e-003
8.764702949863149e-003	1.059700e-004	1.046475e-003
8.824967888523768e-003	1.077709e-004	1.052852e-003
8.882681543645259e-003	1.094440e-004	1.059057e-003
8.944695609854071e-003	1.077523e-004	1.065725e-003
9.007745088118656e-003	1.054899e-004	1.072379e-003
9.069968042978317e-003	1.065220e-004	1.078909e-003
9.133064037719059e-003	1.082078e-004	1.085616e-003
9.196218120371372e-003	1.067208e-004	1.092332e-003
9.260803782988264e-003	1.045702e-004	1.099084e-003
9.324541923036563e-003	1.055143e-004	1.105710e-003
9.389494372978193e-003	1.069771e-004	1.112540e-003
9.456050842851688e-003	1.054239e-004	1.119533e-003
9.598106629235229e-003	1.048187e-004	1.134197e-003
9.668924827653335e-003	1.055439e-004	1.141562e-003
9.741881655405125e-003	1.034160e-004	1.149109e-003
9.804255253179278e-003	1.024548e-004	1.155466e-003
9.875351375143121e-003	1.041491e-004	1.162722e-003
9.933238143757645e-003	1.044413e-004	1.168681e-003
1.000345628806058e-002	1.020780e-004	1.175854e-003
1.006015427442561e-002	1.012901e-004	1.181564e-003
1.012888126830900e-002	1.029365e-004	1.188497e-003
1.018628845778351e-002	1.032235e-004	1.194337e-003
1.025582938909828e-002	1.010157e-004	1.201358e-003
1.031376021783615e-002	1.002174e-004	1.207126e-003
1.038347979753264e-002	1.016972e-004	1.214078e-003
1.044296655442341e-002	1.019016e-004	1.220053e-003
1.051392788246366e-002	9.980781e-005	1.227125e-003
1.057416259184678e-002	9.913492e-005	1.233051e-003
1.064507725051704e-002	1.004987e-004	1.240041e-003
1.070694001690082e-002	1.004748e-004	1.246173e-003
1.077855007656246e-002	9.847002e-005	1.253207e-003
1.084107691760365e-002	9.804315e-005	1.259279e-003
1.091236724999876e-002	9.927847e-005	1.266223e-003
1.097715796143291e-002	9.891760e-005	1.272557e-003
1.104930406262966e-002	9.707794e-005	1.279533e-003
1.111611087794328e-002	9.700430e-005	1.285934e-003
1.118861310824551e-002	9.795457e-005	1.292910e-003
1.126050323946442e-002	9.707685e-005	1.299825e-003
1.133605018338270e-002	9.567640e-005	1.307005e-003
1.141778170962845e-002	9.609677e-005	1.314734e-003
1.150020589608044e-002	9.621747e-005	1.322550e-003
1.158845352686929e-002	9.463817e-005	1.330857e-003
1.166672777684611e-002	9.428937e-005	1.338152e-003
1.175037178659555e-002	9.492031e-005	1.345954e-003
1.183113527101871e-002	9.396703e-005	1.353471e-003
1.191446978525180e-002	9.284723e-005	1.361141e-003
1.201212603525180e-002	9.325721e-005	1.370092e-003
1.209985831198121e-002	9.281369e-005	1.378130e-003
1.219079980385009e-002	9.142318e-005	1.386381e-003
1.227756289542062e-002	9.147454e-005	1.394197e-003
1.236598104913318e-002	9.151238e-005	1.402161e-003
1.246363729913317e-002	9.016207e-005	1.410892e-003
1.256129354913317e-002	8.978660e-005	1.419538e-003
1.274754378310975e-002	8.874727e-005	1.435955e-003
1.284358274767377e-002	8.803553e-005	1.444306e-003
1.294123899767377e-002	8.821857e-005	1.452771e-003
1.303889524767377e-002	8.723988e-005	1.461198e-003
1.313304239419745e-002	8.632363e-005	1.469232e-003
1.323069864419745e-002	8.647560e-005	1.477525e-003
1.332835489419745e-002	8.572234e-005	1.485790e-003
1.342221081759728e-002	8.464522e-005	1.493647e-003
1.351986706759728e-002	8.467840e-005	1.501768e-003
1.361752331759728e-002	8.416229e-005	1.509865e-003
1.371517956759728e-002	8.296874e-005	1.517878e-003
1.381283581759728e-002	8.283350e-005	1.525825e-003
1.391049206759728e-002	8.249430e-005	1.533748e-003
1.400814831759728e-002	8.128273e-005	1.541595e-003
1.410580456759727e-002	8.096864e-005	1.549366e-003
1.420227934605808e-002	8.077724e-005	1.557018e-003
1.429993559605808e-002	7.960315e-005	1.564697e-003
1.439759184605808e-002	7.908492e-005	1.572292e-003
1.459290434605808e-002	7.790114e-005	1.587362e-003
1.469056059605808e-002	7.719773e-005	1.594780e-003
1.478821684605808e-002	7.713009e-005	1.602159e-003
1.488587309605808e-002	7.617650e-005	1.609488e-003
1.498352934605808e-002	7.531164e-005	1.616727e-003
1.508118559605808e-002	7.522798e-005	1.623920e-003
1.517884184605808e-002	7.442027e-005	1.631068e-003
1.527649809605807e-002	7.342962e-005	1.638127e-003
1.537415434605807e-002	7.328215e-005	1.645131e-003
1.547181059605807e-002	7.262477e-005	1.652094e-003
1.566712309605807e-002	7.130171e-005	1.665785e-003
1.576477934605807e-002	7.078433e-005	1.672560e-003
1.586243559605808e-002	6.967554e-005	1.679255e-003
1.596009184605808e-002	6.929600e-005	1.685876e-003
1.605774809605808e-002	6.889565e-005	1.692459e-003
1.615540434605808e-002	6.779635e-005	1.698968e-003
1.625306059605808e-002	6.727372e-005	1.705397e-003
1.635071684605808e-002	6.695800e-005	1.711784e-003
1.644837309605808e-002	6.590815e-005	1.718104e-003
1.654602934605809e-002	6.524229e-005	1.724340e-003
1.664368559605809e-002	6.497312e-005	1.730529e-003
1.674134184605809e-002	6.400416e-005	1.736658e-003
1.683899809605809e-002	6.320734e-005	1.742699e-003
1.693665434605809e-002	6.294487e-005	1.748689e-003
1.703431059605809e-002	6.207763e-005	1.754622e-003
1.713196684605809e-002	6.117238e-005	1.760469e-003
1.722962309605810e-002	6.087884e-005	1.766256e-003
1.732727934605810e-002	6.012254e-005	1.771991e-003
1.752259184605810e-002	5.878172e-005	1.783225e-003
1.762024809605810e-002	5.813408e-005	1.788760e-003
1.771790434605810e-002	5.710575e-005	1.794212e-003
1.781556059605810e-002	5.666066e-005	1.799591e-003
1.791321684605811e-002	5.610911e-005	1.804922e-003
1.801087309605811e-002	5.507085e-005	1.810174e-003
1.810852934605811e-002	5.452265e-005	1.815348e-003
1.820618559605811e-002	5.404634e-005	1.820472e-003
1.830384184605811e-002	5.303026e-005	1.825522e-003
1.840149809605811e-002	5.237395e-005	1.830490e-003
1.859681059605811e-002	5.097934e-005	1.840251e-003
1.869446684605812e-002	5.021969e-005	1.845013e-003
1.879212309605812e-002	4.981158e-005	1.849717e-003
1.888977934605812e-002	4.891324e-005	1.854356e-003
1.898743559605812e-002	4.806349e-005	1.858910e-003
1.908509184605812e-002	4.764571e-005	1.863402e-003
1.918274809605812e-002	4.682735e-005	1.867832e-003
1.928040434605812e-002	4.590737e-005	1.872178e-003
1.937806059605813e-002	4.545362e-005	1.876456e-003
1.947571684605813e-002	4.471781e-005	1.880675e-003
1.967102934605813e-002	4.324073e-005	1.888875e-003
1.976868559605813e-002	4.258187e-005	1.892881e-003
1.986634184605813e-002	4.159564e-005	1.896806e-003
1.996399809605813e-002	4.101258e-005	1.900654e-003
2.006165434605814e-002	4.041809e-005	1.904444e-003
2.015931059605814e-002	3.943684e-005	1.908157e-003
2.025696684605814e-002	3.877436e-005	1.911790e-003
2.045227934605814e-002	3.727238e-005	1.918862e-003
2.054993559605814e-002	3.653055e-005	1.922278e-003
2.074524809605815e-002	3.509892e-005	1.928916e-003
2.084290434605815e-002	3.428465e-005	1.932115e-003
2.094056059605815e-002	3.376606e-005	1.935249e-003
2.103821684605815e-002	3.291309e-005	1.938316e-003
2.113587309605815e-002	3.203897e-005	1.941298e-003
2.123352934605815e-002	3.150333e-005	1.944211e-003
2.133118559605815e-002	3.071193e-005	1.947058e-003
2.152649809605816e-002	2.922415e-005	1.952514e-003
2.162415434605816e-002	2.849317e-005	1.955141e-003
2.172181059605816e-002	2.755165e-005	1.957687e-003
2.181946684605816e-002	2.693284e-005	1.960156e-003
2.191712309605816e-002	2.625546e-005	1.962561e-003
2.201477934605816e-002	2.530897e-005	1.964888e-003
2.211243559605816e-002	2.463430e-005	1.967134e-003
2.220952547940941e-002	2.400365e-005	1.969304e-003
2.230718172940941e-002	2.306972e-005	1.971410e-003
2.240483797940942e-002	2.233541e-005	1.973435e-003
2.259872306785465e-002	2.083454e-005	1.977251e-003
2.269637931785465e-002	2.004055e-005	1.979053e-003
2.279403556785465e-002	1.944532e-005	1.980788e-003
2.289169181785465e-002	1.857510e-005	1.982452e-003
2.298433477287569e-002	1.776972e-005	1.983953e-003
2.308199102287569e-002	1.718947e-005	1.985467e-003
2.316829808122398e-002	1.647107e-005	1.986749e-003
2.334423281372059e-002	1.507264e-005	1.989161e-003
2.343177965026577e-002	1.444921e-005	1.990279e-003
2.352056809403008e-002	1.356207e-005	1.991349e-003
2.359449407925400e-002	1.301804e-005	1.992186e-003
2.367418753577908e-002	1.257515e-005	1.993048e-003
2.374661285321728e-002	1.190916e-005	1.993790e-003
2.390008671561675e-002	1.070693e-005	1.995208e-003
2.397798029544603e-002	1.016872e-005	1.995866e-003
2.405074196325098e-002	9.407629e-006	1.996437e-003
2.410865930673773e-002	8.914421e-006	1.996853e-003
